species,bio_01,bio_07,bio_12
Aphelocoma_ultramarina,14.40633985,21.01970584,1127.172
Atlapetes_pileatus,15.66127588,19.46593061,1052.988
Campylorhynchus_megalopterus,15.01535857,18.22408499,1011.094
Campylorhynchus_rufinucha,24.41536918,18.1832856,1342.945892
Cardellina_rubra,15.35511057,18.38489557,1094.826
Catharus_occidentalis,15.39485046,19.10747758,1072.638
Dendrortyx_barbatus,15.29536652,19.35659626,1208.222
Doricha_eliza,25.96761296,16.59625508,768.8847737
Dryobates_stricklandi,12.46176858,19.11436016,1155.014
Geothlypis_nelsoni,14.12004196,19.8404036,1020.764
Hylorchilus_sumichrasti,23.29931187,18.92157632,2481.168
Melanotis_caerulescens,18.12561677,22.42897338,952.178
Momotus_coeruliceps,19.8639135,20.30847838,1253.494
Oriturus_superciliosus,12.97736192,21.49379967,1015.902
Periporphyrus_celaeno,22.61087688,25.68968983,645.798
Pipilo_ocai,16.30984049,18.21640323,1055.72
Selasphorus_heloisa,18.28031125,18.04857552,1249.452
Zentrygon_carrikeri,23.78502841,15.51710181,2379.18
Accipiter_cooperii,12.92600466,33.59912943,886.0095095
Amazilia_tzacatl,22.65458592,11.84601694,2672.616925
Busarellus_nigricollis,26.02250579,13.27787639,2090.7935
Charadrius_vociferus,16.94525687,28.15071687,897.2662663
Elanoides_forficatus,21.05373141,20.690544,1636.713357
Falco_columbarius,10.5281269,27.85698521,820.9634817
Ictinia_mississippiensis,17.72492407,33.18545013,1046.887
Jacana_spinosa,25.28109911,14.97067607,2040.191
Laterallus_ruber,25.05401658,15.52163891,1734.7335
Megaceryle_torquata,22.85700328,16.13398447,1839.151076
Nyctidromus_albicollis,23.81254306,16.01654338,1962.525945
Ortalis_vetula,23.96866538,21.15743483,1078.256628
Passerina_cyanea,16.83112543,30.48606988,1096.348674
Piaya_cayana,22.86942662,15.40132592,1822.472417
Pluvialis_squatarola,15.75773812,20.09854755,800.9135678
Rallus_elegans,19.71441665,26.7289576,1314.32066
Spiza_americana,15.21017371,32.25745707,1081.7375
Streptoprocne_rutila,18.84280667,11.36277911,2340.051
